,toughest,highest_mort
Aruba,42.58018691588784,10423.084395803933
Afghanistan,34.69710280373833,7564.492568247987
Angola,57.86157407407405,4027.033356870983
Albania,51.35546296296301,23202.61797208766
Andorra,44.62009433962265,12698.518059622009
United Arab Emirates,51.76467289719629,9791.235129081004
Argentina,68.96820754716988,13817.367760783975
Australia,58.18196261682243,-3090.255654204641
Austria,56.19416666666666,8036.2889019860395
Azerbaijan,63.867169811320686,16597.864998616948
Burundi,13.48584905660376,6801.989215482983
Belgium,51.6724074074074,12436.976921642668
Benin,39.670370370370364,-2345.4159953980115
Burkina Faso,27.41113207547166,2125.9906012659817
Bangladesh,67.1156603773585,14981.692729863962
Bulgaria,43.496415094339625,31299.035212384242
Bahrain,50.60435185185187,10138.895377330966
Bahamas,59.3759813084113,8663.190557160973
Bosnia and Herzegovina,42.26850467289719,25123.47366326667
Belarus,29.3222641509434,27578.13951560776
Belize,60.79168224299065,7164.194363571822
Bermuda,47.54481132075474,6442.312363523309
Bolivia,49.84403846153845,22725.650346457
Brazil,60.15425688073369,437543.0315003536
Barbados,54.19346153846156,-2358.657295793097
Brunei,46.183925233644835,166.9716225481177
Bhutan,61.49551401869161,2024.2209202459862
Botswana,48.93268518518524,9504.684780996971
Central African Republic,28.00224299065422,452.7684183539844
Canada,55.92505794137704,53817.12861594361
Switzerland,46.146168224299046,7698.774023422207
Chile,63.590093457943944,10052.233656639546
China,51.96532418224319,55735.82711973851
Cote d'Ivoire,28.57264150943396,1149.344549499988
Cameroon,35.874285714285726,7681.122032037996
Democratic Republic of Congo,41.53824074074075,8157.030436330991
Congo,47.018365384615336,9948.797417671
Colombia,61.4893518518519,14642.210444855331
Comoros,,6510.400101400981
Cape Verde,55.50841121495334,10245.264925874979
Costa Rica,54.96038095238095,4204.328164285073
Cuba,62.82878504672896,4778.6072642345625
Cyprus,54.84019801980205,1936.4780863478086
Czech Republic,46.86373831775696,18594.377423581493
Germany,60.06383177570095,4423.089780488776
Djibouti,44.073904761904764,20412.25156532096
Dominica,41.1685849056604,3298.981436232986
Denmark,46.557962962962954,-119.9080085585419
Dominican Republic,61.17594339622635,2904.203960397262
Algeria,58.79504672897191,4769.982657404989
Ecuador,60.69175925925927,25066.01566546053
Egypt,50.82336448598142,13842.797790465293
Eritrea,66.76907407407408,604.0658768199864
Spain,55.40887850467287,16259.408299619425
Estonia,37.24560747663554,8836.967686402773
Ethiopia,49.495555555555626,8059.595980708986
Finland,40.77453703703704,2714.100361317361
Fiji,60.113867924528314,1032.728891830978
France,58.39009345794391,7964.288854947471
Faeroe Islands,34.27728971962616,-7225.746708098152
Gabon,61.47764150943397,5986.692803944985
United Kingdom,55.52171962616816,66574.7251458565
Georgia,56.86638888888898,14014.637906579983
Ghana,41.863796296296286,-902.2728268190118
Guinea,55.06250000000001,5489.638077244986
Gambia,42.4665420560748,5853.70389758698
Greece,64.5826851851852,7367.03529263479
Greenland,36.36027777777779,-4818.442114922165
Guatemala,57.772500000000036,9356.404780592393
Guyana,60.08594339622634,4707.601706737957
Hong Kong,60.047358490566104,1011.4870579352146
Honduras,72.99233644859811,21923.682714989955
Croatia,42.70462962962966,16385.76644632745
Haiti,46.57018518518521,6743.290497110995
Hungary,46.67663551401863,15962.85624018993
Indonesia,61.046132075471725,11296.414187351964
India,65.89027777777774,13734.124857067985
Ireland,57.18616822429903,2640.1473570421313
Iran,60.02149532710284,14712.236133570697
Iraq,67.04833333333345,26083.193661727924
